Player Name,Current Market Value (USD)
Jakub Moder,11000000.0
Michal Karbownik,6600000.0
Billy Arce,660000.0
Amad Diallo,16500000.0
Patrick Cutrone,13200000.0
Frederik Alves,440000.0
Winston Reid,1650000.0
Raheem Sterling,121000000.0
Heung-min Son,99000000.0
Bruno Fernandes,99000000.0
Bernardo Silva,77000000.0
Paul Pogba,71500000.0
N'Golo Kanté,66000000.0
Rúben Dias,66000000.0
Anthony Martial,60500000.0
Ferran Torres,55000000.0
Youri Tielemans,55000000.0
Jack Grealish,55000000.0
Tanguy Ndombélé,49500000.0
Hakim Ziyech,49500000.0
Dominic Calvert-Lewin,49500000.0
Harry Maguire,44000000.0
Pierre-Emerick Aubameyang,44000000.0
Davinson Sánchez,44000000.0
Donny van de Beek,44000000.0
Dele Alli,41800000.0
Alexandre Lacazette,38500000.0
Kurt Zouma,38500000.0
Sergio Agüero,38500000.0
Alex Telles,38500000.0
Reece James,38500000.0
Lucas Digne,36300000.0
Leander Dendoncker,35200000.0
Tomas Soucek,33000000.0
Pierre-Emile Höjbjerg,33000000.0
Héctor Bellerín,30800000.0
Kieran Tierney,30800000.0
Wesley Fofana,29700000.0
Pedro Neto,29700000.0
Kalvin Phillips,29700000.0
Scott McTominay,27500000.0
Edouard Mendy,27500000.0
Harry Winks,27500000.0
David de Gea,27500000.0
Antonio Rüdiger,27500000.0
Granit Xhaka,27500000.0
Eric Dier,27500000.0
James Ward-Prowse,27500000.0
Daniel Podence,27500000.0
Rodrigo,27500000.0
Ben White,24200000.0
Jan Bednarek,22000000.0
Gareth Bale,22000000.0
John McGinn,22000000.0
André Gomes,22000000.0
Fred,22000000.0
Issa Diop,22000000.0
Serge Aurier,22000000.0
Emiliano Martínez,19800000.0
Curtis Jones,18700000.0
Fikayo Tomori,18700000.0
César Azpilicueta,18700000.0
James Justin,18700000.0
Kepa,16500000.0
Jannik Vestergaard,16500000.0
Emerson,16500000.0
Che Adams,16500000.0
Patrick Bamford,16500000.0
Willian,16500000.0
Kyle Walker-Peters,16500000.0
Marcos Alonso,14300000.0
